year,state,state_po,state_fips,district,totalvotes,DEMOCRAT,REPUBLICAN,DEMOCRAT_PRCT,REPUBLICAN_PRCT,SPREAD_DR,SPREAD_RD,TOTAL_TW,DEMOCRAT_PRCT_TW,REPUBLICAN_PRCT_TW,SPREAD_DR_TW
1990,NEW YORK,NY,36,3,0,70118,45699,NA,NA,NA,NA,115817,0.6054206204615903,0.3945793795384097,0.21084124092318057
1990,NEW YORK,NY,36,4,0,41308,63838,NA,NA,NA,NA,105146,0.39286325680482376,0.6071367431951762,-0.21427348639035243
1990,NEW YORK,NY,36,5,0,51738,59568,NA,NA,NA,NA,111306,0.46482669397876125,0.5351733060212387,-0.07034661204247744
1990,NEW YORK,NY,36,6,0,42499,13224,NA,NA,NA,NA,55723,0.7626832726163344,0.23731672738366563,0.5253665452326688
1990,NEW YORK,NY,36,7,0,48159,0,NA,NA,NA,NA,48159,1,0,1
1990,NEW YORK,NY,36,8,0,53552,14384,NA,NA,NA,NA,67936,0.78827131417805,0.21172868582195006,0.5765426283560999
1990,NEW YORK,NY,36,9,0,35177,13330,NA,NA,NA,NA,48507,0.7251943018533408,0.2748056981466592,0.45038860370668155
1990,NEW YORK,NY,36,10,0,58673,9199,NA,NA,NA,NA,67872,0.8644654644035832,0.1355345355964168,0.7289309288071664
1990,NEW YORK,NY,36,11,0,34711,0,NA,NA,NA,NA,34711,1,0,1
1990,NEW YORK,NY,36,12,0,39103,0,NA,NA,NA,NA,39103,1,0,1
1990,NEW YORK,NY,36,13,0,45412,7954,NA,NA,NA,NA,53366,0.850953790803133,0.14904620919686692,0.7019075816062661
1990,NEW YORK,NY,36,14,0,32738,44271,NA,NA,NA,NA,77009,0.42511914191847705,0.5748808580815229,-0.14976171616304584
1990,NEW YORK,NY,36,15,0,30519,48505,NA,NA,NA,NA,79024,0.38619912937841666,0.6138008706215833,-0.22760174124316662
